circuit,sequence,sequence_full,tvd_loss,count,reports
seq_001.qpy,"sx(83) → rz(83, 3.1416)","sx(83) → rz(83, 3.1416)",0.017578125,3,"[0, 1, 2]"
seq_002.qpy,"rz(83, 3.1416) → cz(84,83)","rz(83, 3.1416) → cz(84,83)",0.009033203125,3,"[0, 1, 2]"
seq_003.qpy,"sx(83) → rz(83, 3.1416) → cz(84,83)","sx(83) → rz(83, 3.1416) → cz(84,83)",0.036376953125,3,"[0, 1, 2]"
